city,latitude,longitude
New York City,40.712776,-74.005974
Chicago,41.878113,-87.629799
Los Angeles,34.052235,-118.243683
Houston,29.760427,-95.369804
Phoenix,33.448376,-112.074036
San Diego,32.715736,-117.161087
San Antonio,29.424122,-98.493629
Philadelphia,39.952583,-75.165222
Dallas,32.776665,-96.796989
San Jose,37.338207,-121.88633
Austin,30.267153,-97.743057
Columbus,39.961178,-82.998795
Fort Worth,32.755489,-97.330765
Seattle,47.606209,-122.332069
Indianapolis,39.768402,-86.158066
San Francisco,37.774929,-122.419418
Charlotte,35.227085,-80.843124
Denver,39.739235,-104.99025
Washington,47.751076,-120.740135
Boston,42.360081,-71.058884
Nashville,36.162663,-86.781601
Detroit,42.331429,-83.045753
Las Vegas,36.169941,-115.139832
Memphis,35.149532,-90.048981
Louisville,38.252666,-85.758453
Baltimore,39.290386,-76.61219
Milwaukee,43.038902,-87.906471
Atlanta,33.748997,-84.387985
Tucson,32.222607,-110.974709
Atlanta,33.748997,-84.387985
Miami,25.761681,-80.191788
Minneapolis,44.977753,-93.265015
Arlington,32.735687,-97.108063
Cleveland,41.499321,-81.694359
Aurora,36.97089,-93.717979
Santa Ana,33.745472,-117.867653
Cincinnati,39.103119,-84.512016
St. Louis,38.627003,-90.199402
Pittsburgh,40.440624,-79.995888
Orlando,28.538336,-81.379234
Plano,33.019844,-96.698883
Newark,37.443188,-95.582733
Fort Wayne,41.079273,-85.139351
Buffalo,42.886448,-78.878372
Chandler,33.30616,-111.841248
Madison,43.073051,-89.40123
Glendale,34.142509,-118.255074
Fremont,37.548271,-121.988571
Irving,32.814018,-96.948891
Jacksonville,30.332184,-81.655647
Tampa,27.950575,-82.457176
South Pasadena,34.115849,-118.150352
Saint Pete Beach,27.72573,-82.74153
Madeira Beach,27.799351,-82.795593
Knoxville,35.960636,-83.920738
